feature,selection_freq
BD-pTau-231,1.0
pTau-231,1.0
TREM1,1.0
KLK6,0.92
BD-MAPT,0.22
AÎ²38,0.15
TAFA5,0.09
GOT1,0.03
CD40LG,0.02
